Age,Is_Senior,Marital_Status,Married_Premium_Discount,Prior_Insurance,Prior_Insurance_Premium_Adjustment,Claims_Frequency,Claims_Severity,Claims_Adjustment,Policy_Type,Policy_Adjustment,Premium_Amount,Safe_Driver_Discount,Multi_Policy_Discount,Bundling_Discount,Total_Discounts,Source_of_Lead,Time_Since_First_Contact,Conversion_Status,Website_Visits,Inquiries,Quotes_Requested,Time_to_Conversion,Credit_Score,Premium_Adjustment_Credit,Region,Premium_Adjustment_Region,Total_discount_impact,Claim_Ratio
18,0,Married,86,1-5 years,50,0,0,0,Liability-Only,-200,2136,1,1,0,100,Online,11,1,3,2,1,11,625,50,Urban,100,0.04681647940074907,0.0
61,1,Single,0,<1 year,100,0,0,0,Full Coverage,0,2300,0,1,0,50,Online,25,1,6,4,2,5,698,50,Suburban,50,0.021739130434782608,0.0
36,0,Married,86,1-5 years,50,0,1,0,Full Coverage,0,2236,0,1,0,50,Agent,17,1,7,1,3,1,760,-50,Suburban,50,0.022361359570661897,0.0
41,0,Single,0,>5 years,0,0,2,0,Full Coverage,0,2150,0,1,0,50,Online,1,1,9,3,1,3,749,-50,Urban,100,0.023255813953488372,0.0
18,0,Single,0,<1 year,100,0,0,0,Full Coverage,0,2150,0,1,1,100,Online,17,0,3,1,2,99,723,-50,Suburban,50,0.046511627906976744,0.0
31,0,Single,0,1-5 years,50,1,0,50,Full Coverage,0,2300,0,0,0,0,Online,2,0,2,4,2,99,697,50,Rural,0,0.0,0.021739130434782608
41,0,Divorced,0,>5 years,0,1,1,100,Liability-Only,-200,2200,0,0,0,0,Agent,18,1,9,2,2,11,676,50,Urban,100,0.0,0.045454545454545456
22,0,Single,0,1-5 years,50,1,0,50,Liability-Only,-200,2050,0,0,0,0,Agent,3,0,6,1,3,99,733,-50,Suburban,50,0.0,0.024390243902439025
45,0,Single,0,>5 years,0,0,1,0,Full Coverage,0,2150,1,0,0,50,Agent,24,0,6,1,1,99,710,-50,Urban,100,0.023255813953488372,0.0
30,0,Married,86,>5 years,0,0,0,0,Full Coverage,0,2286,0,0,0,0,Online,21,1,6,1,2,5,728,-50,Urban,100,0.0,0.0
35,0,Divorced,0,<1 year,100,0,2,0,Liability-Only,-200,2000,0,1,0,50,Agent,13,0,3,1,2,99,738,-50,Suburban,50,0.025,0.0
30,0,Widowed,0,1-5 years,50,0,0,0,Full Coverage,0,2350,0,0,0,0,Agent,17,1,8,2,1,4,688,50,Urban,100,0.0,0.0
67,1,Married,86,1-5 years,50,0,0,0,Full Coverage,0,2236,0,0,0,0,Agent,15,1,3,1,3,3,740,-50,Rural,0,0.0,0.0
39,0,Married,86,>5 years,0,0,0,0,Full Coverage,0,2236,0,0,1,50,Agent,27,0,5,2,2,99,706,-50,Urban,100,0.022361359570661897,0.0
24,0,Married,86,1-5 years,50,0,0,0,Full Coverage,0,2436,0,0,0,0,Online,26,0,4,2,1,99,690,50,Urban,100,0.0,0.0
52,0,Single,0,1-5 years,50,0,2,0,Full Coverage,0,2200,1,0,0,50,Online,28,0,4,2,1,99,701,-50,Urban,100,0.022727272727272728,0.0
21,0,Single,0,1-5 years,50,0,2,0,Full Coverage,0,2350,0,0,0,0,Agent,3,1,7,2,2,6,648,50,Urban,100,0.0,0.0
43,0,Married,86,>5 years,0,0,1,0,Full Coverage,0,2186,0,0,0,0,Online,5,1,6,2,3,3,844,-50,Rural,0,0.0,0.0
18,0,Single,0,1-5 years,50,0,0,0,Full Coverage,0,2250,0,0,0,0,Agent,30,0,4,3,2,99,670,50,Rural,0,0.0,0.0
20,0,Married,86,1-5 years,50,1,1,100,Liability-Only,-200,2186,0,1,0,50,Referral,25,1,3,2,3,3,718,-50,Urban,100,0.022872827081427266,0.04574565416285453
42,0,Single,0,>5 years,0,1,0,50,Full Coverage,0,2100,1,1,0,100,Online,5,1,4,4,1,6,739,-50,Suburban,50,0.047619047619047616,0.023809523809523808
51,0,Married,86,>5 years,0,0,2,0,Full Coverage,0,2286,0,1,0,50,Agent,29,1,3,3,3,9,629,50,Suburban,50,0.021872265966754154,0.0
42,0,Married,86,>5 years,0,0,0,0,Liability-Only,-200,2036,0,1,0,50,Referral,6,0,4,4,2,99,735,-50,Urban,100,0.02455795677799607,0.0
38,0,Married,86,<1 year,100,0,0,0,Full Coverage,0,2186,1,1,0,100,Online,16,1,2,2,1,3,850,-50,Rural,0,0.04574565416285453,0.0
35,0,Married,86,1-5 years,50,1,1,100,Full Coverage,0,2386,0,0,0,0,Online,2,0,4,2,2,99,727,-50,Suburban,50,0.0,0.041911148365465216
18,0,Single,0,1-5 years,50,1,1,100,Full Coverage,0,2400,0,1,0,50,Online,30,0,3,2,1,99,692,50,Urban,100,0.020833333333333332,0.041666666666666664
29,0,Single,0,1-5 years,50,1,1,100,Liability-Only,-200,2050,0,0,0,0,Online,6,0,4,5,1,99,764,-50,Rural,0,0.0,0.04878048780487805
33,0,Married,86,<1 year,100,0,0,0,Full Coverage,0,2386,0,0,0,0,Agent,27,0,9,6,2,99,733,-50,Urban,100,0.0,0.0
55,1,Married,86,1-5 years,50,0,1,0,Full Coverage,0,2236,0,1,0,50,Agent,13,1,3,0,2,1,745,-50,Suburban,50,0.022361359570661897,0.0
45,0,Married,86,1-5 years,50,0,0,0,Liability-Only,-200,2186,1,0,0,50,Referral,5,0,6,1,3,99,650,50,Urban,100,0.022872827081427266,0.0
18,0,Single,0,1-5 years,50,1,0,50,Liability-Only,-200,2100,0,0,0,0,Online,20,0,3,2,1,99,721,-50,Urban,100,0.0,0.023809523809523808
44,0,Single,0,1-5 years,50,0,0,0,Liability-Only,-200,1950,1,1,0,100,Agent,26,1,8,2,1,9,748,-50,Urban,100,0.05128205128205128,0.0
34,0,Married,86,<1 year,100,0,1,0,Liability-Only,-200,2086,0,0,1,50,Agent,25,0,3,3,1,99,761,-50,Suburban,50,0.023969319271332695,0.0
29,0,Single,0,>5 years,0,0,0,0,Liability-Only,-200,2050,1,0,0,50,Online,24,1,8,1,2,5,668,50,Urban,100,0.024390243902439025,0.0
49,0,Married,86,>5 years,0,0,0,0,Full Coverage,0,2286,1,1,0,100,Online,27,1,2,2,1,9,674,50,Urban,100,0.04374453193350831,0.0
55,1,Widowed,0,1-5 years,50,0,0,0,Liability-Only,-200,2150,0,0,0,0,Agent,30,0,8,4,3,99,670,50,Urban,100,0.0,0.0
53,0,Widowed,0,>5 years,0,1,1,100,Full Coverage,0,2150,0,1,0,50,Online,16,0,6,3,2,99,761,-50,Rural,0,0.023255813953488372,0.046511627906976744
27,0,Single,0,<1 year,100,0,0,0,Full Coverage,0,2200,0,0,0,0,Agent,16,1,4,2,2,3,769,-50,Rural,0,0.0,0.0
35,0,Widowed,0,>5 years,0,0,0,0,Full Coverage,0,2050,0,1,0,50,Online,7,1,5,1,3,1,750,-50,Rural,0,0.024390243902439025,0.0
44,0,Divorced,0,<1 year,100,0,0,0,Liability-Only,-200,2050,0,0,0,0,Online,20,1,6,2,2,7,755,-50,Suburban,50,0.0,0.0
54,0,Divorced,0,1-5 years,50,1,0,50,Full Coverage,0,2250,0,0,0,0,Agent,11,1,4,0,1,7,768,-50,Suburban,50,0.0,0.022222222222222223
32,0,Single,0,1-5 years,50,1,0,50,Liability-Only,-200,2100,0,0,0,0,Online,3,1,3,4,3,5,681,50,Rural,0,0.0,0.023809523809523808
37,0,Married,86,1-5 years,50,0,1,0,Liability-Only,-200,2036,0,1,0,50,Online,15,1,5,1,1,3,744,-50,Suburban,50,0.02455795677799607,0.0
23,0,Married,86,1-5 years,50,0,0,0,Full Coverage,0,2286,0,0,0,0,Online,17,1,4,1,3,2,781,-50,Suburban,50,0.0,0.0
22,0,Married,86,1-5 years,50,1,0,50,Liability-Only,-200,2136,0,1,0,50,Online,3,0,1,0,2,99,735,-50,Urban,100,0.023408239700374533,0.023408239700374533
52,0,Single,0,1-5 years,50,0,0,0,Full Coverage,0,2250,0,0,0,0,Referral,29,0,6,0,2,99,735,-50,Urban,100,0.0,0.0
60,1,Married,86,>5 years,0,0,0,0,Full Coverage,0,2336,0,1,0,50,Online,2,1,6,2,2,1,675,50,Urban,100,0.021404109589041095,0.0
38,0,Married,86,1-5 years,50,0,0,0,Full Coverage,0,2336,0,0,0,0,Online,14,1,6,2,3,13,705,-50,Urban,100,0.0,0.0
55,1,Married,86,1-5 years,50,0,2,0,Liability-Only,-200,2086,0,0,1,50,Agent,5,1,6,3,2,10,702,-50,Urban,100,0.023969319271332695,0.0
45,0,Married,86,1-5 years,50,3,0,150,Liability-Only,-200,2136,1,1,0,100,Online,24,0,2,4,3,99,738,-50,Suburban,50,0.04681647940074907,0.0702247191011236
30,0,Single,0,>5 years,0,0,0,0,Full Coverage,0,2250,0,1,0,50,Online,4,1,2,2,1,8,639,50,Urban,100,0.022222222222222223,0.0
45,0,Widowed,0,1-5 years,50,0,0,0,Full Coverage,0,2250,0,0,0,0,Online,12,0,7,0,2,99,719,-50,Urban,100,0.0,0.0
63,1,Single,0,1-5 years,50,0,0,0,Full Coverage,0,2300,0,0,1,50,Online,7,0,6,3,2,99,658,50,Urban,100,0.021739130434782608,0.0
39,0,Single,0,1-5 years,50,1,0,50,Full Coverage,0,2200,1,0,0,50,Online,25,0,3,1,3,99,774,-50,Suburban,50,0.022727272727272728,0.022727272727272728
63,1,Single,0,1-5 years,50,2,2,400,Full Coverage,0,2550,0,0,0,0,Referral,11,0,4,1,2,99,775,-50,Rural,0,0.0,0.1568627450980392
18,0,Married,86,1-5 years,50,1,0,50,Full Coverage,0,2336,0,1,0,50,Online,20,1,5,0,1,7,616,50,Rural,0,0.021404109589041095,0.021404109589041095
52,0,Married,86,1-5 years,50,0,0,0,Liability-Only,-200,2036,1,0,0,50,Online,21,1,5,3,2,13,775,-50,Suburban,50,0.02455795677799607,0.0
41,0,Divorced,0,1-5 years,50,0,1,0,Full Coverage,0,2250,0,0,0,0,Agent,25,0,2,2,1,99,720,-50,Urban,100,0.0,0.0
35,0,Married,86,1-5 years,50,1,1,100,Full Coverage,0,2386,0,1,0,50,Online,2,0,9,4,1,99,692,50,Rural,0,0.020955574182732608,0.041911148365465216
41,0,Married,86,<1 year,100,1,0,50,Liability-Only,-200,2186,0,0,0,0,Online,2,0,8,1,2,99,739,-50,Suburban,50,0.0,0.022872827081427266
18,0,Single,0,1-5 years,50,1,0,50,Full Coverage,0,2200,0,1,1,100,Online,10,0,4,0,3,99,709,-50,Urban,100,0.045454545454545456,0.022727272727272728
36,0,Married,86,1-5 years,50,0,0,0,Full Coverage,0,2386,0,0,0,0,Agent,18,0,6,0,3,99,699,50,Suburban,50,0.0,0.0
45,0,Married,86,>5 years,0,1,1,100,Liability-Only,-200,2236,0,0,0,0,Online,17,0,9,6,3,99,634,50,Suburban,50,0.0,0.044722719141323794
62,1,Married,86,1-5 years,50,0,0,0,Full Coverage,0,2236,0,0,0,0,Online,6,1,4,2,2,3,725,-50,Rural,0,0.0,0.0
32,0,Married,86,>5 years,0,0,0,0,Liability-Only,-200,2036,1,0,0,50,Online,11,1,4,1,2,3,747,-50,Urban,100,0.02455795677799607,0.0
27,0,Married,86,<1 year,100,0,1,0,Liability-Only,-200,2086,0,0,0,0,Online,17,1,6,1,1,5,719,-50,Rural,0,0.0,0.0
32,0,Married,86,<1 year,100,1,0,50,Full Coverage,0,2286,1,1,1,150,Online,29,1,6,2,2,3,651,50,Rural,0,0.06561679790026247,0.021872265966754154
53,0,Single,0,>5 years,0,0,0,0,Full Coverage,0,2300,0,0,0,0,Online,30,0,9,4,2,99,655,50,Urban,100,0.0,0.0
44,0,Divorced,0,1-5 years,50,0,0,0,Full Coverage,0,2350,0,0,0,0,Referral,21,1,7,2,2,7,699,50,Urban,100,0.0,0.0
32,0,Married,86,<1 year,100,0,0,0,Liability-Only,-200,2086,0,0,0,0,Agent,27,0,7,2,2,99,801,-50,Rural,0,0.0,0.0
47,0,Divorced,0,1-5 years,50,0,2,0,Full Coverage,0,2150,0,1,0,50,Agent,15,0,4,1,2,99,724,-50,Suburban,50,0.023255813953488372,0.0
41,0,Married,86,1-5 years,50,0,0,0,Full Coverage,0,2286,0,0,0,0,Online,10,0,3,2,2,99,756,-50,Suburban,50,0.0,0.0
54,0,Married,86,>5 years,0,1,0,50,Full Coverage,0,2236,0,1,0,50,Agent,4,1,6,5,3,3,723,-50,Suburban,50,0.022361359570661897,0.022361359570661897
29,0,Married,86,<1 year,100,0,2,0,Full Coverage,0,2486,0,0,0,0,Online,13,0,3,2,3,99,682,50,Urban,100,0.0,0.0
35,0,Single,0,1-5 years,50,0,0,0,Full Coverage,0,2250,0,0,0,0,Referral,1,0,4,0,2,99,663,50,Rural,0,0.0,0.0
34,0,Married,86,>5 years,0,0,0,0,Full Coverage,0,2236,1,0,0,50,Online,15,1,4,3,2,3,850,-50,Urban,100,0.022361359570661897,0.0
18,0,Single,0,<1 year,100,1,0,50,Full Coverage,0,2300,0,0,0,0,Online,27,1,5,1,1,3,734,-50,Suburban,50,0.0,0.021739130434782608
44,0,Single,0,>5 years,0,0,2,0,Full Coverage,0,2200,0,1,0,50,Referral,24,0,3,0,2,99,687,50,Suburban,50,0.022727272727272728,0.0
43,0,Single,0,1-5 years,50,0,1,0,Liability-Only,-200,1900,1,0,0,50,Online,5,1,9,1,2,7,706,-50,Rural,0,0.02631578947368421,0.0
40,0,Single,0,>5 years,0,1,0,50,Full Coverage,0,2200,0,0,0,0,Agent,6,0,5,2,2,99,708,-50,Suburban,50,0.0,0.022727272727272728
36,0,Widowed,0,>5 years,0,0,0,0,Liability-Only,-200,1800,1,1,0,100,Online,7,0,2,2,1,99,717,-50,Rural,0,0.05555555555555555,0.0
18,0,Married,86,<1 year,100,0,2,0,Full Coverage,0,2186,1,1,0,100,Agent,8,1,5,1,3,8,744,-50,Rural,0,0.04574565416285453,0.0
33,0,Married,86,>5 years,0,2,0,100,Full Coverage,0,2336,0,0,0,0,Online,12,1,7,2,2,12,796,-50,Suburban,50,0.0,0.04280821917808219
34,0,Single,0,>5 years,0,1,0,50,Full Coverage,0,2100,1,0,0,50,Online,15,0,3,1,1,99,701,-50,Rural,0,0.023809523809523808,0.023809523809523808
27,0,Single,0,<1 year,100,0,0,0,Liability-Only,-200,2150,1,0,0,50,Online,3,0,3,3,2,99,638,50,Urban,100,0.023255813953488372,0.0
37,0,Married,86,<1 year,100,0,1,0,Full Coverage,0,2236,0,0,1,50,Agent,22,1,5,4,1,8,716,-50,Rural,0,0.022361359570661897,0.0
46,0,Married,86,>5 years,0,1,2,200,Full Coverage,0,2286,1,1,0,100,Referral,9,1,7,1,3,5,726,-50,Rural,0,0.04374453193350831,0.08748906386701662
68,1,Married,86,1-5 years,50,1,1,100,Full Coverage,0,2486,0,0,0,0,Agent,11,1,10,0,1,2,668,50,Suburban,50,0.0,0.04022526146419952
42,0,Married,86,<1 year,100,1,2,200,Liability-Only,-200,2436,1,0,0,50,Agent,20,0,2,0,1,99,697,50,Urban,100,0.020525451559934318,0.08210180623973727
43,0,Married,86,1-5 years,50,0,1,0,Full Coverage,0,2286,0,0,0,0,Online,12,0,3,1,2,99,721,-50,Suburban,50,0.0,0.0
38,0,Widowed,0,>5 years,0,0,0,0,Full Coverage,0,2100,0,0,0,0,Online,8,1,6,2,2,4,740,-50,Rural,0,0.0,0.0
18,0,Single,0,<1 year,100,0,0,0,Full Coverage,0,2400,0,0,0,0,Agent,14,0,4,0,3,99,593,50,Urban,100,0.0,0.0
39,0,Married,86,1-5 years,50,0,1,0,Liability-Only,-200,2136,0,0,0,0,Agent,16,0,4,3,1,99,718,-50,Urban,100,0.0,0.0
40,0,Single,0,<1 year,100,0,0,0,Liability-Only,-200,2050,0,0,0,0,Online,3,1,8,1,2,4,744,-50,Suburban,50,0.0,0.0
76,1,Divorced,0,<1 year,100,1,1,100,Full Coverage,0,2400,1,0,0,50,Referral,1,1,9,4,1,2,673,50,Suburban,50,0.020833333333333332,0.041666666666666664
37,0,Married,86,1-5 years,50,0,1,0,Full Coverage,0,2336,0,0,0,0,Online,18,0,6,2,3,99,697,50,Rural,0,0.0,0.0
44,0,Married,86,<1 year,100,0,0,0,Full Coverage,0,2336,1,0,0,50,Agent,13,1,6,3,2,8,745,-50,Urban,100,0.021404109589041095,0.0
39,0,Single,0,>5 years,0,0,0,0,Liability-Only,-200,1850,0,1,0,50,Online,12,1,7,1,3,11,740,-50,Rural,0,0.02702702702702703,0.0
22,0,Single,0,>5 years,0,0,0,0,Liability-Only,-200,1800,1,1,0,100,Online,5,1,6,2,1,8,727,-50,Rural,0,0.05555555555555555,0.0
57,1,Married,86,>5 years,0,1,0,50,Full Coverage,0,2236,0,1,0,50,Agent,7,1,5,0,2,4,746,-50,Suburban,50,0.022361359570661897,0.022361359570661897
51,0,Widowed,0,1-5 years,50,1,1,100,Full Coverage,0,2300,0,0,0,0,Online,6,0,1,1,3,99,705,-50,Suburban,50,0.0,0.043478260869565216
51,0,Married,86,1-5 years,50,1,0,50,Liability-Only,-200,2086,0,1,0,50,Referral,9,1,8,1,1,9,705,-50,Suburban,50,0.023969319271332695,0.023969319271332695
26,0,Married,86,<1 year,100,0,2,0,Liability-Only,-200,2186,0,0,0,0,Online,4,1,3,1,2,5,730,-50,Urban,100,0.0,0.0
61,1,Married,86,1-5 years,50,0,0,0,Liability-Only,-200,2036,1,0,0,50,Agent,23,1,3,1,2,1,737,-50,Suburban,50,0.02455795677799607,0.0
18,0,Married,86,1-5 years,50,2,1,200,Full Coverage,0,2436,0,1,0,50,Online,4,1,6,3,3,9,713,-50,Suburban,50,0.020525451559934318,0.08210180623973727
48,0,Single,0,>5 years,0,0,0,0,Full Coverage,0,2150,0,0,0,0,Online,3,1,6,2,1,10,763,-50,Suburban,50,0.0,0.0
72,1,Widowed,0,<1 year,100,1,0,50,Liability-Only,-200,2250,0,0,0,0,Agent,6,0,7,1,3,99,685,50,Urban,100,0.0,0.022222222222222223
25,0,Married,86,1-5 years,50,0,0,0,Full Coverage,0,2186,1,1,0,100,Online,27,1,10,2,2,9,749,-50,Suburban,50,0.04574565416285453,0.0
31,0,Widowed,0,>5 years,0,2,0,100,Liability-Only,-200,2100,0,1,0,50,Online,11,0,5,3,3,99,692,50,Suburban,50,0.023809523809523808,0.047619047619047616
41,0,Divorced,0,1-5 years,50,1,0,50,Liability-Only,-200,2200,0,0,0,0,Agent,29,0,7,2,1,99,700,50,Urban,100,0.0,0.022727272727272728
32,0,Married,86,>5 years,0,0,2,0,Full Coverage,0,2286,0,0,0,0,Online,29,1,6,1,3,13,804,-50,Urban,100,0.0,0.0
18,0,Single,0,<1 year,100,1,0,50,Full Coverage,0,2400,0,0,0,0,Online,5,0,3,0,3,99,681,50,Suburban,50,0.0,0.020833333333333332
41,0,Married,86,1-5 years,50,2,0,100,Full Coverage,0,2336,0,1,0,50,Referral,27,1,6,1,1,9,756,-50,Suburban,50,0.021404109589041095,0.04280821917808219
24,0,Single,0,1-5 years,50,0,1,0,Liability-Only,-200,1850,1,1,0,100,Referral,26,1,8,2,2,10,727,-50,Rural,0,0.05405405405405406,0.0
47,0,Married,86,>5 years,0,0,1,0,Liability-Only,-200,2136,0,0,0,0,Online,11,1,3,2,3,1,669,50,Suburban,50,0.0,0.0
26,0,Single,0,<1 year,100,1,0,50,Full Coverage,0,2150,1,1,0,100,Agent,8,0,5,1,1,99,718,-50,Rural,0,0.046511627906976744,0.023255813953488372
63,1,Married,86,1-5 years,50,1,0,50,Full Coverage,0,2336,0,0,0,0,Agent,26,0,5,3,1,99,759,-50,Suburban,50,0.0,0.021404109589041095
28,0,Divorced,0,>5 years,0,0,0,0,Full Coverage,0,2150,0,1,0,50,Online,14,1,6,0,3,11,815,-50,Urban,100,0.023255813953488372,0.0
35,0,Divorced,0,1-5 years,50,0,0,0,Full Coverage,0,2250,0,0,0,0,Agent,18,0,4,0,2,99,727,-50,Urban,100,0.0,0.0
52,0,Married,86,1-5 years,50,1,0,50,Liability-Only,-200,2186,0,1,0,50,Agent,20,0,5,4,2,99,699,50,Suburban,50,0.022872827081427266,0.022872827081427266
21,0,Married,86,1-5 years,50,1,0,50,Full Coverage,0,2486,0,0,0,0,Online,24,1,5,3,2,2,658,50,Urban,100,0.0,0.02011263073209976
43,0,Married,86,>5 years,0,0,0,0,Full Coverage,0,2386,0,0,0,0,Agent,29,1,6,1,2,13,675,50,Urban,100,0.0,0.0
59,1,Single,0,<1 year,100,0,0,0,Full Coverage,0,2300,0,0,0,0,Online,28,0,3,4,1,99,806,-50,Urban,100,0.0,0.0
18,0,Married,86,1-5 years,50,1,0,50,Liability-Only,-200,2236,0,1,0,50,Agent,1,1,2,1,1,4,639,50,Urban,100,0.022361359570661897,0.022361359570661897
42,0,Single,0,1-5 years,50,1,0,50,Full Coverage,0,2200,1,0,0,50,Agent,10,0,5,1,3,99,707,-50,Suburban,50,0.022727272727272728,0.022727272727272728
43,0,Married,86,1-5 years,50,0,0,0,Full Coverage,0,2286,0,0,0,0,Agent,19,1,9,4,3,13,767,-50,Suburban,50,0.0,0.0
51,0,Married,86,>5 years,0,0,0,0,Liability-Only,-200,1986,0,1,1,100,Referral,7,0,4,0,1,99,633,50,Rural,0,0.050352467270896276,0.0
21,0,Married,86,>5 years,0,0,0,0,Full Coverage,0,2336,1,0,0,50,Referral,13,0,6,3,1,99,675,50,Urban,100,0.021404109589041095,0.0
20,0,Married,86,1-5 years,50,0,0,0,Full Coverage,0,2336,0,0,0,0,Agent,16,1,5,1,1,11,652,50,Rural,0,0.0,0.0
47,0,Single,0,<1 year,100,0,1,0,Liability-Only,-200,2050,0,1,0,50,Agent,18,0,6,0,1,99,705,-50,Urban,100,0.024390243902439025,0.0
44,0,Widowed,0,<1 year,100,1,0,50,Liability-Only,-200,2000,1,0,0,50,Online,23,1,6,2,2,10,761,-50,Rural,0,0.025,0.025
43,0,Married,86,1-5 years,50,0,1,0,Full Coverage,0,2436,0,0,0,0,Online,6,1,5,0,1,1,688,50,Urban,100,0.0,0.0
45,0,Single,0,1-5 years,50,0,0,0,Liability-Only,-200,2050,0,0,0,0,Online,7,0,7,5,1,99,721,-50,Urban,100,0.0,0.0
29,0,Married,86,<1 year,100,0,0,0,Liability-Only,-200,2186,0,1,0,50,Agent,24,1,10,3,3,5,666,50,Suburban,50,0.022872827081427266,0.0
43,0,Single,0,1-5 years,50,0,0,0,Liability-Only,-200,2000,0,0,0,0,Online,22,1,5,1,2,4,753,-50,Suburban,50,0.0,0.0
44,0,Married,86,<1 year,100,2,0,100,Liability-Only,-200,2286,0,0,0,0,Online,16,1,4,2,2,2,761,-50,Urban,100,0.0,0.04374453193350831
29,0,Single,0,>5 years,0,0,0,0,Full Coverage,0,2100,1,0,0,50,Online,6,0,1,2,3,99,737,-50,Suburban,50,0.023809523809523808,0.0
67,1,Widowed,0,>5 years,0,0,0,0,Full Coverage,0,2150,0,0,0,0,Online,11,0,4,5,2,99,738,-50,Suburban,50,0.0,0.0
47,0,Married,86,1-5 years,50,0,0,0,Liability-Only,-200,2036,0,1,0,50,Referral,7,1,7,3,3,11,721,-50,Suburban,50,0.02455795677799607,0.0
22,0,Single,0,<1 year,100,0,0,0,Full Coverage,0,2350,0,1,0,50,Online,18,1,3,3,3,11,660,50,Urban,100,0.02127659574468085,0.0
49,0,Married,86,>5 years,0,0,0,0,Full Coverage,0,2336,0,0,0,0,Online,3,0,8,2,2,99,691,50,Suburban,50,0.0,0.0
25,0,Married,86,>5 years,0,0,0,0,Full Coverage,0,2236,0,0,0,0,Online,26,1,9,2,3,13,765,-50,Suburban,50,0.0,0.0
51,0,Married,86,1-5 years,50,2,2,400,Liability-Only,-200,2536,0,0,1,50,Online,17,0,6,4,2,99,680,50,Suburban,50,0.01971608832807571,0.15772870662460567
57,1,Married,86,>5 years,0,1,0,50,Full Coverage,0,2336,0,0,0,0,Referral,30,1,3,6,2,12,754,-50,Urban,100,0.0,0.021404109589041095
27,0,Married,86,>5 years,0,0,0,0,Liability-Only,-200,2086,0,0,0,0,Online,24,0,7,1,1,99,704,-50,Urban,100,0.0,0.0
